,index,Year,State,D_p,N_p,O_p,R_p,D_s,N_s,O_s,R_s,D_h,O_h,R_h,D_g,O_g,R_g,code
852,1229,1884,New_Jersey,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,,,,NJ
853,1228,1884,New_Hampshire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,NH
854,1227,1884,Nevada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,NV
855,1225,1884,Montana,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,MT
856,1223,1884,Mississippi,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,,,,MS
857,1222,1884,Minnesota,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,,,MN
858,1221,1884,Michigan,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,MI
859,1220,1884,Massachusetts,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,,,,MA
860,1219,1884,Maryland,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,MD
861,1218,1884,Maine,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,ME
862,1217,1884,Louisiana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,,,,LA
863,1216,1884,Kentucky,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,,,,KY
864,1215,1884,Kansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,KS
865,1214,1884,Iowa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,IA
866,1213,1884,Indiana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,1.0,0.0,0.0,IN
867,1212,1884,Illinois,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,11.0,0.0,0.0,1.0,IL
868,1211,1884,Idaho,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ID
869,1210,1884,Hawaii,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,HI
870,1209,1884,Georgia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,GA
871,1208,1884,Florida,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,FL
872,1207,1884,Delaware,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,DE
873,1206,1884,Connecticut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,CT
874,1205,1884,Colorado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,CO
875,1204,1884,California,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,,,,CA
876,1203,1884,Arkansas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,AR
877,1202,1884,Arizona,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AZ
878,1201,1884,Alaska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AK
879,1200,1884,Alabama,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,AL
880,1231,1884,New_York,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,17.0,1.0,0.0,0.0,NY
881,1232,1884,North_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,NC
882,1226,1884,Nebraska,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,NE
883,1234,1884,Ohio,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,1.0,OH
884,1233,1884,North_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ND
885,1249,1884,Wyoming,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WY
886,1248,1884,Wisconsin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,,,,WI
887,1247,1884,West_Virginia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,WV
888,1246,1884,Washington,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WA
889,1245,1884,Virginia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,VA
890,1244,1884,Vermont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,VT
891,1243,1884,Utah,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,UT
892,1242,1884,Texas,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,,,,TX
893,1241,1884,Tennessee,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,,,,TN
894,1239,1884,South_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,SC
895,1238,1884,Rhode_Island,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,RI
896,1240,1884,South_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,SD
897,1235,1884,Oklahoma,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,OK
898,1236,1884,Oregon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,OR
899,1237,1884,Pennsylvania,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,20.0,,,,PA
900,4161,1886,Idaho,,,,,0.0,1.0,0.0,0.0,,,,,,,ID
901,4173,1886,Mississippi,,,,,1.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,MS
902,4172,1886,Minnesota,,,,,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,MN
903,4171,1886,Michigan,,,,,0.0,0.0,0.0,1.0,5.0,0.0,7.0,0.0,0.0,1.0,MI
904,4170,1886,Massachusetts,,,,,0.0,0.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,MA
905,4169,1886,Maryland,,,,,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,MD
906,4168,1886,Maine,,,,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,ME
907,4167,1886,Louisiana,,,,,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,LA
908,4166,1886,Kentucky,,,,,0.0,1.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,KY
909,4165,1886,Kansas,,,,,0.0,1.0,0.0,0.0,0.0,1.0,6.0,,,,KS
910,4151,1886,Alaska,,,,,0.0,1.0,0.0,0.0,,,,,,,AK
911,4152,1886,Arizona,,,,,0.0,1.0,0.0,0.0,,,,,,,AZ
912,4153,1886,Arkansas,,,,,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,,,AR
913,4154,1886,California,,,,,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,CA
914,4155,1886,Colorado,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,CO
915,4156,1886,Connecticut,,,,,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,CT
916,4157,1886,Delaware,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DE
917,4199,1886,Wyoming,,,,,0.0,1.0,0.0,0.0,,,,,,,WY
918,4164,1886,Iowa,,,,,0.0,1.0,0.0,0.0,1.0,2.0,8.0,,,,IA
919,4158,1886,Florida,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,FL
920,4163,1886,Indiana,,,,,1.0,0.0,0.0,0.0,6.0,0.0,8.0,,,,IN
921,4162,1886,Illinois,,,,,0.0,1.0,0.0,0.0,6.0,0.0,14.0,,,,IL
922,4159,1886,Georgia,,,,,0.0,1.0,0.0,0.0,10.0,0.0,0.0,,,,GA
923,4160,1886,Hawaii,,,,,0.0,1.0,0.0,0.0,,,,,,,HI
924,4198,1886,Wisconsin,,,,,0.0,0.0,0.0,1.0,1.0,1.0,7.0,,,,WI
925,4190,1886,South_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,SD
926,4196,1886,Washington,,,,,0.0,1.0,0.0,0.0,,,,,,,WA
927,4185,1886,Oklahoma,,,,,0.0,1.0,0.0,0.0,,,,,,,OK
928,4184,1886,Ohio,,,,,0.0,0.0,0.0,1.0,6.0,0.0,15.0,,,,OH
929,4183,1886,North_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,ND
930,4182,1886,North_Carolina,,,,,0.0,1.0,0.0,0.0,7.0,1.0,1.0,,,,NC
931,4181,1886,New_York,,,,,0.0,0.0,0.0,1.0,16.0,0.0,19.0,,,,NY
932,4180,1886,New_Mexico,,,,,0.0,1.0,0.0,0.0,,,,,,,NM
933,4179,1886,New_Jersey,,,,,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,NJ
934,4178,1886,New_Hampshire,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,NH
935,4177,1886,Nevada,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,NV
936,4176,1886,Nebraska,,,,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,NE
937,4175,1886,Montana,,,,,0.0,1.0,0.0,0.0,,,,,,,MT
938,4174,1886,Missouri,,,,,1.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,MO
939,4150,1886,Alabama,,,,,0.0,1.0,0.0,0.0,8.0,0.0,0.0,,,,AL
940,4186,1886,Oregon,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,OR
941,4187,1886,Pennsylvania,,,,,0.0,0.0,0.0,1.0,8.0,0.0,20.0,0.0,0.0,1.0,PA
942,4188,1886,Rhode_Island,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,RI
943,4189,1886,South_Carolina,,,,,0.0,1.0,0.0,0.0,7.0,0.0,0.0,,,,SC
944,4191,1886,Tennessee,,,,,1.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,TN
945,4192,1886,Texas,,,,,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,TX
946,4193,1886,Utah,,,,,0.0,1.0,0.0,0.0,,,,,,,UT
947,4194,1886,Vermont,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,VT
948,4195,1886,Virginia,,,,,1.0,0.0,0.0,0.0,3.0,1.0,6.0,,,,VA
949,4197,1886,West_Virginia,,,,,1.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,WV
950,1296,1888,Washington,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,WA
951,1297,1888,West_Virginia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,WV
952,1264,1888,Iowa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,0.0,IA
953,1295,1888,Virginia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,VA
954,1298,1888,Wisconsin,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,WI
955,1294,1888,Vermont,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,VT
956,1299,1888,Wyoming,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,WY
957,1292,1888,Texas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,,,,TX
958,1276,1888,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,NE
959,1275,1888,Montana,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,MT
960,1274,1888,Missouri,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,4.0,1.0,0.0,0.0,MO
961,1273,1888,Mississippi,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,MS
962,1272,1888,Minnesota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,MN
963,1271,1888,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,,,,MI
964,1270,1888,Massachusetts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,1.0,MA
965,1269,1888,Maryland,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,,,,MD
966,1268,1888,Maine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,ME
967,1267,1888,Louisiana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,,,,LA
968,1266,1888,Kentucky,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,,,,KY
969,1265,1888,Kansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,KS
970,1277,1888,Nevada,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NV
971,1250,1888,Alabama,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,AL
972,1252,1888,Arizona,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AZ
973,1293,1888,Utah,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,UT
974,1254,1888,California,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,,,,CA
975,1255,1888,Colorado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,CO
976,1256,1888,Connecticut,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,CT
977,1257,1888,Delaware,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,DE
978,1258,1888,Florida,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,FL
979,1259,1888,Georgia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,GA
980,1260,1888,Hawaii,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,HI
981,1261,1888,Idaho,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,ID
982,1262,1888,Illinois,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,13.0,0.0,0.0,1.0,IL
983,1263,1888,Indiana,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,IN
984,1251,1888,Alaska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AK
985,1278,1888,New_Hampshire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,NH
986,1253,1888,Arkansas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,AR
987,1280,1888,New_Mexico,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NM
988,1291,1888,Tennessee,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,,,,TN
989,1288,1888,Rhode_Island,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,RI
990,1279,1888,New_Jersey,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,NJ
991,1290,1888,South_Dakota,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,SD
992,1287,1888,Pennsylvania,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,23.0,,,,PA
993,1286,1888,Oregon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,OR
994,1289,1888,South_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,SC
995,1284,1888,Ohio,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,16.0,1.0,0.0,0.0,OH
996,1283,1888,North_Dakota,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,ND
997,1282,1888,North_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,NC
998,1281,1888,New_York,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,20.0,,,,NY
999,1285,1888,Oklahoma,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,OK
1000,4223,1890,Mississippi,,,,,0.0,1.0,0.0,0.0,7.0,0.0,0.0,,,,MS
1001,4222,1890,Minnesota,,,,,0.0,1.0,0.0,0.0,3.0,1.0,1.0,,,,MN
1002,4221,1890,Michigan,,,,,0.0,1.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,MI
1003,4220,1890,Massachusetts,,,,,0.0,1.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,MA
1004,4225,1890,Montana,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,MT
1005,4224,1890,Missouri,,,,,1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,MO
1006,4217,1890,Louisiana,,,,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,LA
1007,4218,1890,Maine,,,,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,ME
1008,4226,1890,Nebraska,,,,,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,NE
1009,4216,1890,Kentucky,,,,,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,KY
1010,4215,1890,Kansas,,,,,0.0,0.0,1.0,0.0,0.0,5.0,2.0,,,,KS
1011,4214,1890,Iowa,,,,,0.0,0.0,0.0,1.0,6.0,0.0,5.0,,,,IA
1012,4213,1890,Indiana,,,,,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,IN
1013,4219,1890,Maryland,,,,,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,MD
1014,4227,1890,Nevada,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,NV
1015,4231,1890,New_York,,,,,1.0,0.0,0.0,0.0,26.0,0.0,12.0,1.0,0.0,0.0,NY
1016,4229,1890,New_Jersey,,,,,0.0,1.0,0.0,0.0,5.0,0.0,2.0,,,,NJ
1017,4247,1890,West_Virginia,,,,,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,,,WV
1018,4246,1890,Washington,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,WA
1019,4245,1890,Virginia,,,,,0.0,1.0,0.0,0.0,11.0,0.0,0.0,,,,VA
1020,4244,1890,Vermont,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,VT
1021,4243,1890,Utah,,,,,0.0,1.0,0.0,0.0,,,,,,,UT
1022,4242,1890,Texas,,,,,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,TX
1023,4241,1890,Tennessee,,,,,0.0,1.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,TN
1024,4240,1890,South_Dakota,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,SD
1025,4228,1890,New_Hampshire,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,NH
1026,4239,1890,South_Carolina,,,,,1.0,0.0,0.0,0.0,8.0,0.0,0.0,,,,SC
1027,4237,1890,Pennsylvania,,,,,0.0,0.0,0.0,1.0,12.0,0.0,18.0,1.0,0.0,0.0,PA
1028,4236,1890,Oregon,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,OR
1029,4235,1890,Oklahoma,,,,,0.0,1.0,0.0,0.0,,,,,,,OK
1030,4234,1890,Ohio,,,,,1.0,0.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,OH
1031,4233,1890,North_Dakota,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,ND
1032,4232,1890,North_Carolina,,,,,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,NC
1033,4212,1890,Illinois,,,,,1.0,0.0,0.0,0.0,14.0,0.0,6.0,,,,IL
1034,4230,1890,New_Mexico,,,,,0.0,1.0,0.0,0.0,,,,,,,NM
1035,4238,1890,Rhode_Island,,,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,RI
1036,4211,1890,Idaho,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,ID
1037,4204,1890,California,,,,,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,CA
1038,4209,1890,Georgia,,,,,1.0,0.0,0.0,0.0,10.0,0.0,0.0,,,,GA
1039,4248,1890,Wisconsin,,,,,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,WI
1040,4210,1890,Hawaii,,,,,0.0,1.0,0.0,0.0,,,,,,,HI
1041,4200,1890,Alabama,,,,,1.0,0.0,0.0,0.0,8.0,0.0,0.0,,,,AL
1042,4201,1890,Alaska,,,,,0.0,1.0,0.0,0.0,,,,,,,AK
1043,4202,1890,Arizona,,,,,0.0,1.0,0.0,0.0,,,,,,,AZ
1044,4249,1890,Wyoming,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,WY
1045,4205,1890,Colorado,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,CO
1046,4206,1890,Connecticut,,,,,0.0,0.0,0.0,1.0,3.0,0.0,1.0,,,,CT
1047,4208,1890,Florida,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,FL
1048,4207,1890,Delaware,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DE
1049,4203,1890,Arkansas,,,,,1.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,AR
1050,1322,1892,Minnesota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,MN
1051,1323,1892,Mississippi,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,MS
1052,1324,1892,Missouri,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,MO
1053,1325,1892,Montana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,MT
1054,1328,1892,New_Hampshire,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,NH
1055,1308,1892,Florida,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,FL
1056,1309,1892,Georgia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,GA
1057,1310,1892,Hawaii,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,HI
1058,1311,1892,Idaho,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,ID
1059,1312,1892,Illinois,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,1.0,0.0,0.0,IL
1060,1326,1892,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,NE
1061,1321,1892,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,1.0,MI
1062,1319,1892,Maryland,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,,,,MD
1063,1318,1892,Maine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,ME
1064,1317,1892,Louisiana,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,,,,LA
1065,1307,1892,Delaware,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,DE
1066,1306,1892,Connecticut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,CT
1067,1305,1892,Colorado,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,CO
1068,1304,1892,California,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,,,,CA
1069,1303,1892,Arkansas,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,AR
1070,1302,1892,Arizona,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AZ
1071,1301,1892,Alaska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AK
1072,1300,1892,Alabama,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,AL
1073,1315,1892,Kansas,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,KS
1074,1313,1892,Indiana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,IN
1075,1320,1892,Massachusetts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,9.0,0.0,0.0,1.0,MA
1076,1316,1892,Kentucky,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,,,,KY
