Name,State,Term,Party
"PARKER, James",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"FULLER, Timothy",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"TOMPKINS, Caleb",New York,16th Congress (1819-1821),Democrat-Republican
"WALLACE, James M.",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"RICH, Charles",Vermont,16th Congress (1819-1821),Democrat-Republican
"MEECH, Ezra",Vermont,16th Congress (1819-1821),Democrat-Republican
"CLAY, Henry",Kentucky,16th Congress (1819-1821),Democrat-Republican
"PLUMER, William, Jr.",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"HOSTETTER, Jacob",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"PHILSON, Robert",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"PHELPS, Elisha",Connecticut,16th Congress (1819-1821),Democrat-Republican
"SAMPSON, Zabdiel",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"GROSS, Ezra Carter",New York,16th Congress (1819-1821),Democrat-Republican
"DARLINGTON, William",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"TAYLOR, John W.",New York,16th Congress (1819-1821),Democrat-Republican
"HAZARD, Nathaniel",Rhode Island,16th Congress (1819-1821),Democrat-Republican
"TARR, Christian",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"LIVERMORE, Arthur",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"PATTERSON, Thomas",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"DE WITT, Jacob Hasbrouck",New York,16th Congress (1819-1821),Democrat-Republican
"MOORE, Robert",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"ROSS, Thomas Randolph",Ohio,16th Congress (1819-1821),Democrat-Republican
"LINN, John",New Jersey,16th Congress (1819-1821),Democrat-Republican
"LYMAN, Joseph Stebbins",New York,16th Congress (1819-1821),Democrat-Republican
"STORRS, Henry Randolph",New York,16th Congress (1819-1821),Federalist
"BODEN, Andrew",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"MALLARY, Rollin Carolas",Vermont,16th Congress (1819-1821),Democrat-Republican
"HIBSHMAN, Jacob",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"MOORE, Samuel",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"HERRICK, Samuel",Ohio,16th Congress (1819-1821),Democrat-Republican
"MURRAY, John",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"DANE, Joseph",Massachusetts,16th Congress (1819-1821),Federalist
"ROGERS, Thomas Jones",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"BATEMAN, Ephraim",New Jersey,16th Congress (1819-1821),Democrat-Republican
"HOLMES, John",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"GROSS, Samuel",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"CRAFTS, Samuel Chandler",Vermont,16th Congress (1819-1821),Democrat-Republican
"WENDOVER, Peter Hercules",New York,16th Congress (1819-1821),Democrat-Republican
"MASON, Jonathan",Massachusetts,16th Congress (1819-1821),Federalist
"MARCHAND, David",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"DICKINSON, John Dean",New York,16th Congress (1819-1821),Federalist
"BAKER, Caleb",New York,16th Congress (1819-1821),Democrat-Republican
"EDWARDS, Samuel",Pennsylvania,16th Congress (1819-1821),Federalist
"TOMLINSON, Gideon",Connecticut,16th Congress (1819-1821),Democrat-Republican
"UPHAM, Nathaniel",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"BEECHER, Philemon",Ohio,16th Congress (1819-1821),Democrat-Republican
"HALL, George",New York,16th Congress (1819-1821),Democrat-Republican
"HEMPHILL, Joseph",Pennsylvania,16th Congress (1819-1821),Federalist
"RICHARDS, Mark",Vermont,16th Congress (1819-1821),Democrat-Republican
"SILSBEE, Nathaniel",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"NELSON, Jeremiah",Massachusetts,16th Congress (1819-1821),Federalist
"BUFFUM, Joseph, Jr.",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"MORTON, Marcus",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"BUTLER, Josiah",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"WHITMAN, Ezekiel",Massachusetts,16th Congress (1819-1821),Federalist
"McCULLOUGH, Thomas Grubb",Pennsylvania,16th Congress (1819-1821),Federalist
"ALLEN, Samuel Clesson",Massachusetts,16th Congress (1819-1821),Federalist
"RICHMOND, Jonathan",New York,16th Congress (1819-1821),Democrat-Republican
"SERGEANT, John",Pennsylvania,16th Congress (1819-1821),Federalist
"MERRILL, Orsamus Cook",Vermont,16th Congress (1819-1821),Democrat-Republican
"MACLAY, William Plunkett",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"CLAGETT, Clifton",New Hampshire,16th Congress (1819-1821),Democrat-Republican
"KINSLEY, Martin",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"CASE, Walter",New York,16th Congress (1819-1821),Democrat-Republican
"HALL, Willard",Delaware,16th Congress (1819-1821),Democrat-Republican
"DOWSE, Edward",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"LATHROP, Samuel",Massachusetts,16th Congress (1819-1821),Federalist
"FOOT, Samuel Augustus",Connecticut,16th Congress (1819-1821),Democrat-Republican
"VAN RENSSELAER, Solomon Van Vechten",New York,16th Congress (1819-1821),Federalist
"TRACY, Albert Haller",New York,16th Congress (1819-1821),Democrat-Republican
"ALLEN, Nathaniel",New York,16th Congress (1819-1821),Democrat-Republican
"DENISON, George",Pennsylvania,16th Congress (1819-1821),Democrat-Republican
"STRONG, James",New York,16th Congress (1819-1821),Federalist
"EDWARDS, Henry Waggaman",Connecticut,16th Congress (1819-1821),Democrat-Republican
"STREET, Randall S.",New York,16th Congress (1819-1821),Federalist
"MOSELEY, Jonathan Ogden",Connecticut,16th Congress (1819-1821),Democrat-Republican
"RUSS, John",Connecticut,16th Congress (1819-1821),Democrat-Republican
"FOLGER, Walter, Jr.",Massachusetts,16th Congress (1819-1821),Democrat-Republican
"FAY, John",New York,16th Congress (1819-1821),Democrat-Republican
"KENDALL, Jonas",Massachusetts,16th Congress (1819-1821),Federalist
"ADAMS, Benjamin",Massachusetts,16th Congress (1819-1821),Federalist
"SLOANE, John",Ohio,16th Congress (1819-1821),Democrat-Republican
"FORREST, Thomas",Pennsylvania,16th Congress (1819-1821),Federalist
"PEEK, Harmanus",New York,16th Congress (1819-1821),Democrat-Republican
"BALL, William Lee",Virginia,17th Congress (1821-1823),Democrat-Republican
"WILSON, John",South Carolina,17th Congress (1821-1823),Democrat-Republican
"McNEILL, Archibald",North Carolina,17th Congress (1821-1823),Federalist
"GIST, Joseph",South Carolina,17th Congress (1821-1823),Democrat-Republican
"TUCKER, Starling",South Carolina,17th Congress (1821-1823),Democrat-Republican
"TATTNALL, Edward Fenwick",Georgia,17th Congress (1821-1823),Democrat-Republican
"HALL, Thomas H.",North Carolina,17th Congress (1821-1823),Democrat-Republican
"BARBOUR, Philip Pendleton",Virginia,17th Congress (1821-1823),Democrat-Republican
"THOMPSON, Wiley",Georgia,17th Congress (1821-1823),Democrat-Republican
"EDWARDS, Weldon Nathaniel",North Carolina,17th Congress (1821-1823),Democrat-Republican
"BLACKLEDGE, William Salter",North Carolina,17th Congress (1821-1823),Democrat-Republican
"ALEXANDER, Mark",Virginia,17th Congress (1821-1823),Democrat-Republican
"McCOY, William",Virginia,17th Congress (1821-1823),Democrat-Republican
"GARNETT, Robert Selden",Virginia,17th Congress (1821-1823),Democrat-Republican
"SAUNDERS, Romulus Mitchell",North Carolina,17th Congress (1821-1823),Democrat-Republican
"TUCKER, George",Virginia,17th Congress (1821-1823),Democrat-Republican
"FLOYD, John",Virginia,17th Congress (1821-1823),Democrat-Republican
"GOVAN, Andrew Robison",South Carolina,17th Congress (1821-1823),Democrat-Republican
"CONNOR, Henry William",North Carolina,17th Congress (1821-1823),Democrat-Republican
"REID, Robert Raymond",Georgia,17th Congress (1821-1823),Democrat-Republican
"LONG, John",North Carolina,17th Congress (1821-1823),Democrat-Republican
"SMITH, Arthur",Virginia,17th Congress (1821-1823),Democrat-Republican
"HOOKS, Charles",North Carolina,17th Congress (1821-1823),Democrat-Republican
"BLAIR, James",South Carolina,17th Congress (1821-1823),Democrat-Republican
"OVERSTREET, James",South Carolina,17th Congress (1821-1823),Democrat-Republican
"JONES, James",Virginia,17th Congress (1821-1823),Democrat-Republican
"BURTON, Hutchins Gordon",North Carolina,17th Congress (1821-1823),Democrat-Republican
"VAN SWEARINGEN, Thomas",Virginia,17th Congress (1821-1823),Federalist
"BRYAN, Henry Hunter",Tennessee,17th Congress (1821-1823),Democrat-Republican
"STEVENSON, Andrew",Virginia,17th Congress (1821-1823),Democrat-Republican
"HAMILTON, James, Jr.",South Carolina,17th Congress (1821-1823),Democrat-Republican
"JONES, Francis",Tennessee,17th Congress (1821-1823),Democrat-Republican
"GILMER, George Rockingham",Georgia,17th Congress (1821-1823),Democrat-Republican
"MITCHELL, Thomas Rothmaler",South Carolina,17th Congress (1821-1823),Democrat-Republican
"POINSETT, Joel Roberts",South Carolina,17th Congress (1821-1823),Democrat-Republican
"CUTHBERT, Alfred",Georgia,17th Congress (1821-1823),Democrat-Republican
"WALKER, Felix",North Carolina,17th Congress (1821-1823),Democrat-Republican
"SMYTH, Alexander",Virginia,17th Congress (1821-1823),Democrat-Republican
"BASSETT, Burwell",Virginia,17th Congress (1821-1823),Democrat-Republican
"RANKIN, Christopher",Mississippi,17th Congress (1821-1823),Democrat-Republican
"LEFTWICH, Jabez",Virginia,17th Congress (1821-1823),Democrat-Republican
"CAMBRELENG, Churchill Caldom",New York,17th Congress (1821-1823),Democrat-Republican
"WILLIAMS, Jared",Virginia,17th Congress (1821-1823),Democrat-Republican
"McDUFFIE, George",South Carolina,17th Congress (1821-1823),Democrat-Republican
"CANNON, Newton",Tennessee,17th Congress (1821-1823),Democrat-Republican
"JACKSON, Edward Brake",Virginia,17th Congress (1821-1823),Democrat-Republican
"ABBOT, Joel",Georgia,17th Congress (1821-1823),Democrat-Republican
"CARTER, John",South Carolina,17th Congress (1821-1823),Democrat-Republican
"SMITH, William",Virginia,17th Congress (1821-1823),Democrat-Republican
"NEW, Anthony",Kentucky,17th Congress (1821-1823),Democrat-Republican
"RHEA, John",Tennessee,17th Congress (1821-1823),Democrat-Republican
"ALLEN, Robert",Tennessee,17th Congress (1821-1823),Democrat-Republican
"BUCHANAN, James",Pennsylvania,17th Congress (1821-1823),Federalist
"MOORE, Thomas Love",Virginia,17th Congress (1821-1823),Democrat-Republican
"COCKE, John",Tennessee,17th Congress (1821-1823),Democrat-Republican
"BRECKINRIDGE, James Douglas",Kentucky,17th Congress (1821-1823),Democrat-Republican
"NEALE, Raphael",Maryland,17th Congress (1821-1823),Federalist
"ARCHER, William Segar",Virginia,17th Congress (1821-1823),Democrat-Republican
"WARFIELD, Henry Ridgely",Maryland,17th Congress (1821-1823),Federalist
"KIRKLAND, Joseph",New York,17th Congress (1821-1823),Federalist
"BAYLY, Thomas",Maryland,17th Congress (1821-1823),Federalist
"RODNEY, Caesar Augustus",Delaware,17th Congress (1821-1823),Democrat-Republican
"McKIM, Isaac",Maryland,17th Congress (1821-1823),Democrat-Republican
"SMITH, John Speed",Kentucky,17th Congress (1821-1823),Democrat-Republican
"NELSON, Hugh",Virginia,17th Congress (1821-1823),Democrat-Republican
"CRUDUP, Josiah",North Carolina,17th Congress (1821-1823),Democrat-Republican
"MOORE, Gabriel",Alabama,17th Congress (1821-1823),Democrat-Republican
"RANDOLPH, John",Virginia,17th Congress (1821-1823),Democrat-Republican
"HARDIN, Benjamin",Kentucky,17th Congress (1821-1823),Democrat-Republican
"BALDWIN, Henry",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"WOODSON, Samuel Hughes",Kentucky,17th Congress (1821-1823),Democrat-Republican
"HERRICK, Ebenezer",Maine,17th Congress (1821-1823),Democrat-Republican
"WILLIAMS, Lewis",North Carolina,17th Congress (1821-1823),Democrat-Republican
"BAYLIES, Francis",Massachusetts,17th Congress (1821-1823),Federalist
"LOWNDES, William",South Carolina,17th Congress (1821-1823),Democrat-Republican
"SAWYER, Lemuel",North Carolina,17th Congress (1821-1823),Democrat-Republican
"INGHAM, Samuel Delucenna",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"HENDRICKS, William",Indiana,17th Congress (1821-1823),Democrat-Republican
"NEWTON, Thomas, Jr.",Virginia,17th Congress (1821-1823),Democrat-Republican
"McLANE, Louis",Delaware,17th Congress (1821-1823),Federalist
"SMITH, Samuel",Maryland,17th Congress (1821-1823),Democrat-Republican
"TRIMBLE, David",Kentucky,17th Congress (1821-1823),Democrat-Republican
"WRIGHT, Robert",Maryland,17th Congress (1821-1823),Democrat-Republican
"KENT, Joseph",Maryland,17th Congress (1821-1823),Democrat-Republican
"MONTGOMERY, Thomas",Kentucky,17th Congress (1821-1823),Democrat-Republican
"JENNINGS, Jonathan",Indiana,17th Congress (1821-1823),Democrat-Republican
"MERCER, Charles Fenton",Virginia,17th Congress (1821-1823),Federalist
"HILL, Mark Langdon",Maine,17th Congress (1821-1823),Democrat-Republican
"METCALFE, Thomas",Kentucky,17th Congress (1821-1823),Democrat-Republican
"CONKLING, Alfred",New York,17th Congress (1821-1823),Democrat-Republican
"LITTLE, Peter",Maryland,17th Congress (1821-1823),Democrat-Republican
"JOHNSON, Francis",Kentucky,17th Congress (1821-1823),Democrat-Republican
"LITCHFIELD, Elisha",New York,17th Congress (1821-1823),Democrat-Republican
"UDREE, Daniel",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"CUSHMAN, Joshua",Maine,17th Congress (1821-1823),Democrat-Republican
"CAMPBELL, John Wilson",Ohio,17th Congress (1821-1823),Democrat-Republican
"MORGAN, John Jordan",New York,17th Congress (1821-1823),Democrat-Republican
"VAN RENSSELAER, Stephen, III",New York,17th Congress (1821-1823),Federalist
"JOHNSON, John Telemachus",Kentucky,17th Congress (1821-1823),Democrat-Republican
"EUSTIS, William",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"MATTOCKS, John",Vermont,17th Congress (1821-1823),Democrat-Republican
"HOLCOMBE, George",New Jersey,17th Congress (1821-1823),Democrat-Republican
"FINDLAY, John",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"PITCHER, Nathaniel",New York,17th Congress (1821-1823),Democrat-Republican
"DURFEE, Job",Rhode Island,17th Congress (1821-1823),Democrat-Republican
"DWIGHT, Henry Williams",Massachusetts,17th Congress (1821-1823),Federalist
"RUGGLES, Charles Herman",New York,17th Congress (1821-1823),Federalist
"STEWART, Andrew",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"EDDY, Samuel",Rhode Island,17th Congress (1821-1823),Democrat-Republican
"MITCHELL, James S.",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"RUSSELL, Jonathan",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"CONDICT, Lewis",New Jersey,17th Congress (1821-1823),Democrat-Republican
"PLUMER, George",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"WHIPPLE, Thomas, Jr.",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"LINCOLN, Enoch",Maine,17th Congress (1821-1823),Democrat-Republican
"HOBART, Aaron",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"WOOD, Silas",New York,17th Congress (1821-1823),Democrat-Republican
"GORHAM, Benjamin",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"COOK, Daniel Pope",Illinois,17th Congress (1821-1823),Democrat-Republican
"FULLER, Timothy",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"PHILLIPS, John",Pennsylvania,17th Congress (1821-1823),Federalist
"JOHNSTON, Josiah Stoddard",Louisiana,17th Congress (1821-1823),Democrat-Republican
"RICH, Charles",Vermont,17th Congress (1821-1823),Democrat-Republican
"BARBER, Levi",Ohio,17th Congress (1821-1823),Democrat-Republican
"CHAMBERS, David",Ohio,17th Congress (1821-1823),Democrat-Republican
"PLUMER, William, Jr.",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"DARLINGTON, William",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"McSHERRY, James",Pennsylvania,17th Congress (1821-1823),Federalist
"TAYLOR, John W.",New York,17th Congress (1821-1823),Democrat-Republican
"PATTERSON, Thomas",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"ROSS, Thomas Randolph",Ohio,17th Congress (1821-1823),Democrat-Republican
"MALLARY, Rollin Carolas",Vermont,17th Congress (1821-1823),Democrat-Republican
"WORMAN, Ludwig",Pennsylvania,17th Congress (1821-1823),Federalist
"HARVEY, Matthew",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"CASSEDY, George",New Jersey,17th Congress (1821-1823),Democrat-Republican
"BARBER, Noyes",Connecticut,17th Congress (1821-1823),Democrat-Republican
"REED, Philip",Maryland,17th Congress (1821-1823),Democrat-Republican
"MOORE, Samuel",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"WOODCOCK, David",New York,17th Congress (1821-1823),Democrat-Republican
"DANE, Joseph",Maine,17th Congress (1821-1823),Federalist
"ROGERS, Thomas Jones",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"BATEMAN, Ephraim",New Jersey,17th Congress (1821-1823),Democrat-Republican
"MURRAY, Thomas, Jr.",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"GROSS, Samuel",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"CRAFTS, Samuel Chandler",Vermont,17th Congress (1821-1823),Democrat-Republican
"DICKINSON, John Dean",New York,17th Congress (1821-1823),Federalist
"SCOTT, John",Missouri,17th Congress (1821-1823),Democrat-Republican
"VANCE, Joseph",Ohio,17th Congress (1821-1823),Democrat-Republican
"EDWARDS, Samuel",Pennsylvania,17th Congress (1821-1823),Federalist
"SWAN, Samuel",New Jersey,17th Congress (1821-1823),Democrat-Republican
"HUBBARD, Thomas Hill",New York,17th Congress (1821-1823),Democrat-Republican
"TOMLINSON, Gideon",Connecticut,17th Congress (1821-1823),Democrat-Republican
"CAMPBELL, Samuel",New York,17th Congress (1821-1823),Democrat-Republican
"UPHAM, Nathaniel",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"STEPHENSON, James",Virginia,17th Congress (1821-1823),Federalist
"BIGELOW, Lewis",Massachusetts,17th Congress (1821-1823),Federalist
"HEMPHILL, Joseph",Pennsylvania,17th Congress (1821-1823),Federalist
"WHITE, Phineas",Vermont,17th Congress (1821-1823),Democrat-Republican
"FARRELLY, Patrick",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"NELSON, Jeremiah",Massachusetts,17th Congress (1821-1823),Federalist
"MATSON, Aaron",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"BUTLER, Josiah",New Hampshire,17th Congress (1821-1823),Democrat-Republican
"WHITMAN, Ezekiel",Maine,17th Congress (1821-1823),Federalist
"McCARTY, Richard",New York,17th Congress (1821-1823),Democrat-Republican
"ALLEN, Samuel Clesson",Massachusetts,17th Congress (1821-1823),Federalist
"SERGEANT, John",Pennsylvania,17th Congress (1821-1823),Federalist
"GEBHARD, John",New York,17th Congress (1821-1823),Federalist
"WALWORTH, Reuben Hyde",New York,17th Congress (1821-1823),Democrat-Republican
"REED, John",Massachusetts,17th Congress (1821-1823),Federalist
"SPENCER, Elijah",New York,17th Congress (1821-1823),Democrat-Republican
"KEYES, Elias",Vermont,17th Congress (1821-1823),Democrat-Republican
"HAWKES, James",New York,17th Congress (1821-1823),Democrat-Republican
"LATHROP, Samuel",Massachusetts,17th Congress (1821-1823),Federalist
"VAN RENSSELAER, Solomon Van Vechten",New York,17th Congress (1821-1823),Federalist
"TRACY, Albert Haller",New York,17th Congress (1821-1823),Democrat-Republican
"DENISON, George",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"TOD, John",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"FORWARD, Walter",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"EDWARDS, Henry Waggaman",Connecticut,17th Congress (1821-1823),Democrat-Republican
"MILNOR, William",Pennsylvania,17th Congress (1821-1823),Federalist
"STODDARD, Ebenezer",Connecticut,17th Congress (1821-1823),Democrat-Republican
"VAN WYCK, William William",New York,17th Congress (1821-1823),Democrat-Republican
"BARSTOW, Gideon",Massachusetts,17th Congress (1821-1823),Democrat-Republican
"RUSS, John",Connecticut,17th Congress (1821-1823),Democrat-Republican
"BROWN, John",Pennsylvania,17th Congress (1821-1823),Democrat-Republican
"WILLIAMSON, William Durkee",Maine,17th Congress (1821-1823),Democrat-Republican
"NELSON, John",Maryland,17th Congress (1821-1823),Democrat-Republican
"STERLING, Ansel",Connecticut,17th Congress (1821-1823),Democrat-Republican
"BORLAND, Charles, Jr.",New York,17th Congress (1821-1823),Democrat-Republican
"PIERSON, Jeremiah Halsey",New York,17th Congress (1821-1823),Democrat-Republican
"MATLACK, James",New Jersey,17th Congress (1821-1823),Democrat-Republican
"SLOANE, John",Ohio,17th Congress (1821-1823),Democrat-Republican
"BURROWS, Daniel",Connecticut,17th Congress (1821-1823),Democrat-Republican
"FORREST, Thomas",Pennsylvania,17th Congress (1821-1823),Federalist
"ROCHESTER, William Beatty",New York,17th Congress (1821-1823),Democrat-Republican
"PATTERSON, Walter",New York,17th Congress (1821-1823),Federalist
"COLDEN, Cadwallader David",New York,17th Congress (1821-1823),Federalist
"STERLING, Micah",New York,17th Congress (1821-1823),Federalist
"RODNEY, Daniel",Delaware,17th Congress (1821-1823),Federalist
"COSDEN, Jeremiah",Maryland,17th Congress (1821-1823),Democrat-Republican
"HARRIS, Mark",Maine,17th Congress (1821-1823),Democrat-Republican
"BALL, William Lee",Virginia,18th Congress (1823-1825),Crawford Republican
"WILSON, John",South Carolina,18th Congress (1823-1825),Jackson Republican
"GIST, Joseph",South Carolina,18th Congress (1823-1825),Jackson Republican
"TUCKER, Starling",South Carolina,18th Congress (1823-1825),Jackson Republican
"TATTNALL, Edward Fenwick",Georgia,18th Congress (1823-1825),Crawford Republican
"HALL, Thomas H.",North Carolina,18th Congress (1823-1825),Crawford Republican
"BARBOUR, Philip Pendleton",Virginia,18th Congress (1823-1825),Crawford Republican
"THOMPSON, Wiley",Georgia,18th Congress (1823-1825),Crawford Republican
"EDWARDS, Weldon Nathaniel",North Carolina,18th Congress (1823-1825),Crawford Republican
"ALEXANDER, Mark",Virginia,18th Congress (1823-1825),Crawford Republican
"SPAIGHT, Richard Dobbs, Jr.",North Carolina,18th Congress (1823-1825),Crawford Republican
"CARY, George",Georgia,18th Congress (1823-1825),Crawford Republican
"McCOY, William",Virginia,18th Congress (1823-1825),Crawford Republican
"GARNETT, Robert Selden",Virginia,18th Congress (1823-1825),Crawford Republican
"SAUNDERS, Romulus Mitchell",North Carolina,18th Congress (1823-1825),Crawford Republican
"TUCKER, George",Virginia,18th Congress (1823-1825),Crawford Republican
"FLOYD, John",Virginia,18th Congress (1823-1825),Crawford Republican
"GOVAN, Andrew Robison",South Carolina,18th Congress (1823-1825),Jackson Republican
"CONNOR, Henry William",North Carolina,18th Congress (1823-1825),Jackson Republican
"LONG, John",North Carolina,18th Congress (1823-1825),Crawford Republican
"SMITH, Arthur",Virginia,18th Congress (1823-1825),Crawford Republican
"HAYWARD, William, Jr.",Maryland,18th Congress (1823-1825),Crawford Republican
"HOOKS, Charles",North Carolina,18th Congress (1823-1825),Crawford Republican
"BURTON, Hutchins Gordon",North Carolina,18th Congress (1823-1825),Crawford Republican
"STEVENSON, Andrew",Virginia,18th Congress (1823-1825),Crawford Republican
"HAMILTON, James, Jr.",South Carolina,18th Congress (1823-1825),Jackson Republican
"POINSETT, Joel Roberts",South Carolina,18th Congress (1823-1825),Jackson Republican
"HOUSTON, Samuel",Tennessee,18th Congress (1823-1825),Jackson Republican
"CUTHBERT, Alfred",Georgia,18th Congress (1823-1825),Crawford Republican
"VANCE, Robert Brank",North Carolina,18th Congress (1823-1825),Jackson Republican
"SMYTH, Alexander",Virginia,18th Congress (1823-1825),Crawford Republican
"BASSETT, Burwell",Virginia,18th Congress (1823-1825),Crawford Republican
"DAY, Rowland",New York,18th Congress (1823-1825),Crawford Republican
"CAMPBELL, Robert Blair",South Carolina,18th Congress (1823-1825),Jackson Republican
"RANKIN, Christopher",Mississippi,18th Congress (1823-1825),Jackson Republican
"GATLIN, Alfred Moore",North Carolina,18th Congress (1823-1825),Crawford Republican
"LEFTWICH, Jabez",Virginia,18th Congress (1823-1825),Crawford Republican
"FORSYTH, John",Georgia,18th Congress (1823-1825),Crawford Republican
"SANDFORD, James T.",Tennessee,18th Congress (1823-1825),Jackson Republican
"CAMBRELENG, Churchill Caldom",New York,18th Congress (1823-1825),Crawford Republican
"LEE, John",Maryland,18th Congress (1823-1825),Jackson Federalist
"JOHNSON, Joseph",Virginia,18th Congress (1823-1825),Jackson Republican
"McDUFFIE, George",South Carolina,18th Congress (1823-1825),Jackson Republican
"WILLIAMS, Jared",Virginia,18th Congress (1823-1825),Crawford Republican
"McKEE, John",Alabama,18th Congress (1823-1825),Jackson Republican
"STANDIFER, James Israel",Tennessee,18th Congress (1823-1825),Jackson Republican
"ABBOT, Joel",Georgia,18th Congress (1823-1825),Crawford Republican
"RIVES, William Cabell",Virginia,18th Congress (1823-1825),Crawford Republican
"CARTER, John",South Carolina,18th Congress (1823-1825),Jackson Republican
"OWEN, George Washington",Alabama,18th Congress (1823-1825),Jackson Republican
"SMITH, William",Virginia,18th Congress (1823-1825),Crawford Republican
"BLAIR, John",Tennessee,18th Congress (1823-1825),Jackson Republican
"ALLEN, Robert",Tennessee,18th Congress (1823-1825),Jackson Republican
"COBB, Thomas Willis",Georgia,18th Congress (1823-1825),Crawford Republican
"BUCHANAN, James",Pennsylvania,18th Congress (1823-1825),Jackson Federalist
"O'BRIEN, Jeremiah",Maine,18th Congress (1823-1825),Adams-Clay Republican
"COCKE, John",Tennessee,18th Congress (1823-1825),Jackson Republican
"NEALE, Raphael",Maryland,18th Congress (1823-1825),Adams-Clay Federalist
"ARCHER, William Segar",Virginia,18th Congress (1823-1825),Crawford Republican
"REYNOLDS, James B.",Tennessee,18th Congress (1823-1825),Jackson Republican
"WARFIELD, Henry Ridgely",Maryland,18th Congress (1823-1825),Adams-Clay Federalist
"WILDE, Richard Henry",Georgia,18th Congress (1823-1825),Crawford Republican
"McKIM, Isaac",Maryland,18th Congress (1823-1825),Jackson Republican
"ISACKS, Jacob C.",Tennessee,18th Congress (1823-1825),Jackson Republican
"MOORE, Gabriel",Alabama,18th Congress (1823-1825),Jackson Republican
"RANDOLPH, John",Virginia,18th Congress (1823-1825),Crawford Republican
"BRECK, Samuel",Pennsylvania,18th Congress (1823-1825),Adams-Clay Federalist
"BARBOUR, John Strode",Virginia,18th Congress (1823-1825),Crawford Republican
"FROST, Joel",New York,18th Congress (1823-1825),Crawford Republican
"ALEXANDER, Adam Rankin",Tennessee,18th Congress (1823-1825),Jackson Republican
"HERRICK, Ebenezer",Maine,18th Congress (1823-1825),Adams-Clay Republican
"TALIAFERRO, John",Virginia,18th Congress (1823-1825),Crawford Republican
"WICKLIFFE, Charles Anderson",Kentucky,18th Congress (1823-1825),Jackson Republican
"DWINELL, Justin",New York,18th Congress (1823-1825),Crawford Republican
"WILLIAMS, Lewis",North Carolina,18th Congress (1823-1825),Crawford Republican
"KREMER, George",Pennsylvania,18th Congress (1823-1825),Jackson Republican
"BAYLIES, Francis",Massachusetts,18th Congress (1823-1825),Jackson Federalist
"MANGUM, Willie Person",North Carolina,18th Congress (1823-1825),Crawford Republican
"CULPEPPER, John",North Carolina,18th Congress (1823-1825),Adams-Clay Federalist
